sample	Acidobacteria_Gp19	Acidobacteria_Gp21	Acidobacteria_Gp5	Acidobacteria_Gp9	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Chloroplast	Clostridia	Cytophagia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Halobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Planctomycetia	Sphingobacteriia	Subdivision5	Synergistia	Thermoprotei	Verrucomicrobiae
r1_1	0	0	0	0	7383	0	27088	20486	24	0	9	62991	0	0	0	0	6413	0	1	17	0	0	0	7939	0	0	6	0	0	0	3
r1_10	0	0	0	0	3075	0	194	8389	56	0	1	19334	0	0	0	0	1891	0	0	5	0	0	0	2559	0	0	1	0	0	0	1
r1_11	0	0	0	0	14116	2	1503	8755	44	0	1	41325	0	0	1	0	5734	0	0	52	0	0	0	2454	0	0	22	0	0	3	6
r1_12	0	0	0	0	4070	16	799	18783	231	0	2	34554	0	0	0	0	2885	0	0	52	0	0	0	6469	0	0	8	1	0	0	3
r1_13	0	0	0	0	3195	51	2534	26371	104	0	20	42821	0	0	1	0	3839	0	0	150	0	0	0	6359	0	0	7	0	0	0	3
r1_14	0	0	0	0	3115	15	8247	7260	17	0	1	41960	0	0	0	0	2055	0	2	33	0	0	0	3178	0	0	5	0	0	1	6
r1_15	0	0	0	0	4300	534	1243	16953	256	0	2	41209	0	0	0	0	2506	0	1	20	0	0	0	6326	0	0	7	0	0	3	3
r1_16	0	0	0	0	4463	667	3271	12137	174	0	0	35520	0	0	0	0	1734	0	0	29	0	0	0	4128	0	0	11	0	0	0	3
r1_17	0	0	0	0	4572	345	5904	10667	119	0	0	45606	0	0	0	0	2459	0	0	61	0	0	0	3643	0	1	17	0	0	3	2
r1_18	0	0	0	0	5382	53	7980	6893	40	0	0	33305	0	0	0	0	4203	0	0	31	0	0	0	2808	0	0	12	0	0	0	5
r1_19	0	0	0	0	4376	198	5250	9489	103	0	0	34129	0	0	1	0	3101	0	0	17	0	0	0	4778	0	0	9	0	0	1	2
r1_2	0	0	0	0	8464	1	8857	12297	38	0	10	59211	0	0	0	0	10010	0	0	191	0	0	0	3622	0	0	13	0	0	2	6
r1_20	0	0	0	0	12808	76	7236	22543	66	0	0	74224	0	0	0	0	6520	0	2	474	0	0	0	3271	0	0	16	0	0	1	5
r1_21	0	0	0	0	19625	167	5714	15286	195	0	1	64527	0	0	1	0	4382	0	0	64	0	0	0	4980	0	0	19	0	0	2	9
r1_22	0	0	0	0	11181	118	7359	19196	165	0	1	50373	0	1	0	0	5282	0	0	80	0	0	0	10206	0	0	22	0	0	0	3
r1_23	0	0	0	0	8127	295	1439	22027	255	0	0	55026	0	0	1	0	7241	0	0	33	0	0	0	13416	0	0	15	0	0	1	3
r1_24	0	0	0	0	7191	592	2723	23391	223	0	1	38172	0	0	0	0	2854	0	1	23	0	0	0	15435	0	0	9	0	0	0	5
r1_25	0	0	0	0	4470	1098	3008	13535	152	0	0	27141	0	0	0	0	2162	0	0	25	0	0	0	7436	0	0	12	0	0	3	2
r1_26	0	0	0	0	4493	1150	963	10680	184	0	0	31919	0	0	1	0	2368	0	0	86	0	0	0	5535	0	0	8	0	0	1	4
r1_27	0	0	0	0	6435	414	417	10161	238	0	1	29073	0	0	0	0	1575	0	0	374	0	0	0	2803	0	0	17	0	0	1	6
r1_28	0	0	0	0	5000	50	333	9465	62	0	0	24694	0	0	1	0	2241	0	0	14	0	0	0	3725	0	0	7	0	0	1	2
r1_29	0	0	0	0	6443	35	442	5437	51	0	0	32365	0	0	6	0	2202	1	0	222	0	0	0	1560	0	0	145	0	0	11	47
r1_3	0	0	0	0	4759	5	1304	20419	209	0	5	53559	0	0	0	0	6246	0	0	19	0	0	0	6164	0	0	12	0	0	1	6
r1_30	0	0	0	0	7029	9	628	6057	4	0	6	43709	0	0	0	0	2987	0	0	22	0	0	0	448	0	0	8	0	0	1	4
r1_31	0	0	0	0	9448	60	1139	16699	109	0	1	41685	0	0	0	0	3202	0	0	19	0	0	0	2601	0	0	13	0	0	3	3
r1_32	0	0	0	0	6462	22	2017	6756	78	0	0	43448	0	0	0	0	3104	1	0	18	0	0	0	4991	0	0	15	0	0	1	7
r1_33	0	0	0	0	7559	111	3166	10018	126	0	1	57116	0	0	0	0	5671	0	0	23	0	0	0	5774	0	0	15	0	0	3	7
r1_34	0	0	0	0	9968	324	5772	12377	136	0	8	72489	0	0	1	0	9510	0	3	107	0	0	0	12220	0	0	48	0	0	2	15
