sample	Acidaminococcaceae	Acidilobaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bifidobacteriaceae	Bradyrhizobiaceae	Brucellaceae	Burkholderiaceae	Caldilineaceae	Caldisphaeraceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Defluviitaleaceae	Dermabacteraceae	Desulfohalobiaceae	Desulfovibrionaceae	Desulfurococcaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flammeovirgaceae	Flavobacteriaceae	Fusobacteriaceae	Gracilibacteraceae	Halanaerobiaceae	Hydrogenophilaceae	Incertae Sedis XI	Kineosporiaceae	Labilitrichaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinilabiliaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Nocardiopsaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Pyrodictiaceae	Rhodobacteraceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sporolactobacillaceae	Staphylococcaceae	Streptococcaceae	Sulfolobaceae	Sutterellaceae	Synergistaceae	Syntrophobacteraceae	Syntrophomonadaceae	Thermaceae	Thermoproteaceae	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
r1_1	1399	0	90	3	0	0	0	12	17245	0	3461	0	0	0	0	0	0	77	0	6	9	455	0	0	0	0	0	3	3737	0	0	0	0	0	0	0	0	0	15	12	6413	8	0	0	1	0	0	0	0	0	0	38738	203	0	963	0	0	0	89	0	0	0	0	0	0	0	0	0	0	1	0	0	2974	0	0	0	0	0	0	0	0	169	23150	0	0	1	25583	0	23	0	0	0	0	0	6534	3	0
r1_10	217	0	17	6	0	0	0	0	7314	0	2412	0	0	0	0	0	0	2	0	1	1	11	0	0	0	1	0	10	643	0	0	0	0	0	0	0	0	0	2	2	1891	15	0	0	0	0	0	0	0	0	0	11571	4	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	0	0	942	0	0	0	0	0	0	0	0	109	7533	0	0	0	148	0	51	0	0	0	0	0	2341	1	0
r1_11	847	0	141	17	0	0	0	11	7040	0	6223	1	0	0	0	0	0	16	0	22	1	45	7	0	0	13	0	27	7740	0	0	0	0	0	0	0	0	0	25	0	5734	99	0	0	0	0	0	0	0	0	0	28029	7	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	253	0	0	1460	0	0	0	0	0	3	0	0	191	12401	0	0	0	1426	0	23	0	0	0	0	0	1606	6	0
r1_12	560	0	85	9	0	0	0	1	16114	0	2881	0	0	0	0	0	0	0	0	8	2	238	2	0	0	0	0	14	1083	0	0	0	0	0	0	0	0	0	8	0	2885	11	0	0	0	0	0	0	0	0	0	21522	6	0	0	0	0	0	19	0	0	0	0	0	0	0	16	0	0	127	0	0	2246	0	0	0	0	0	0	0	12	319	12310	0	0	0	769	0	211	0	0	0	0	0	5908	3	0
r1_13	1039	0	143	8	0	0	0	6	23077	0	1700	1	0	0	0	0	0	51	0	7	20	42	0	0	0	2	0	24	1309	0	0	0	0	0	0	1	0	0	93	31	3839	17	0	0	0	0	0	0	0	0	0	30569	70	0	162	0	0	1	38	0	0	0	0	0	0	0	36	0	0	95	0	0	2991	0	1	0	2	0	0	0	35	201	11539	0	0	0	2170	0	94	0	0	0	0	0	5320	3	0
r1_14	521	0	92	10	0	0	0	10	6279	0	2074	2	0	0	0	0	0	27	0	5	1	70	2	0	0	3	0	9	923	0	0	0	0	0	0	0	0	0	17	9	2055	21	0	0	2	0	0	0	0	0	0	26180	0	0	180	0	0	0	19	0	0	0	0	0	0	0	4	1	0	159	0	0	830	0	0	0	0	0	0	0	6	102	14860	0	0	0	7895	0	12	0	0	0	0	0	2652	6	0
r1_15	537	0	31	15	0	0	0	1	14362	0	3266	0	0	0	0	0	0	5	0	7	2	19	1	0	0	0	0	16	992	0	0	0	0	0	0	0	0	0	4	0	2506	21	0	0	1	0	0	0	0	0	0	25883	0	0	9	0	0	0	5	0	0	0	0	0	0	0	1	1	0	76	0	0	1980	0	0	0	0	0	1	0	342	512	14763	0	0	0	1195	0	237	0	0	0	0	0	5787	3	0
r1_16	498	0	30	13	0	0	0	2	9086	0	3373	4	0	0	0	0	0	0	0	10	0	21	0	0	0	2	0	9	1052	0	0	0	0	0	0	0	0	0	0	0	1734	41	0	0	0	0	0	0	0	0	0	18285	2	0	4	0	0	0	4	0	0	0	0	0	0	0	1	0	0	48	0	0	1978	0	0	0	0	0	0	0	471	931	16772	0	0	0	3192	0	155	0	0	0	0	0	3630	3	0
r1_17	759	0	68	17	0	0	0	2	8367	0	3065	2	0	0	0	0	0	2	0	17	0	81	7	0	0	1	0	26	1433	0	0	0	0	0	0	0	0	0	14	1	2459	43	0	0	0	0	0	0	0	0	0	25245	233	0	180	0	0	0	1	0	0	0	0	0	0	0	17	0	0	214	1	0	1326	1	0	0	0	0	1	0	227	833	19491	0	0	0	5410	0	103	0	0	0	0	0	2884	2	0
r1_18	303	0	36	12	0	0	0	1	5280	0	3886	0	0	0	0	0	0	8	0	12	0	19	3	0	0	1	0	34	1445	0	0	0	0	0	0	0	0	0	11	1	4203	52	0	0	0	0	0	0	0	0	0	22370	231	0	2	0	0	0	11	0	0	0	0	0	0	0	2	0	0	145	0	0	976	0	0	0	0	0	0	0	37	541	10388	0	0	0	7661	0	36	0	0	0	0	0	2505	5	0
