sample	Abiotrophia	Acetanaerobacterium	Acetitomaculum	Acetivibrio	Acetobacterium	Achromobacter	Acidaminobacter	Acidaminococcus	Acidilobus	Acinetobacter	Actinobacillus	Actinomyces	Adlercreutzia	Aeriscardovia	Aggregatibacter	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerobacillus	Anaerobacter	Anaerobacterium	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaerorhabdus	Anaerosinus	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovibrio	Anaerovirgula	Anaerovorax	Anoxybacillus	Armatimonadetes_gp5	Arthrobacter	Asaccharobacter	Atopobacter	Atopobium	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Biostraticola	Blautia	Brassicibacter	Burkholderia	Buttiauxella	Butyricicoccus	Butyricimonas	Caldisphaera	Campylobacter	Candidatus Carsonella	Carnobacterium	Catenibacterium	Cellulosibacter	Cellulosilyticum	Centipeda	Citrobacter	Clavibacter	Clostridium III	Clostridium IV	Clostridium XI	Clostridium XII	Clostridium XVIII	Clostridium XlVa	Clostridium XlVb	Clostridium sensu stricto	Coenonia	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Coraliomargarita	Coriobacterium	Corynebacterium	Cronobacter	Cryptobacterium	Curtobacterium	Defluviitalea	Dendrosporobacter	Dermabacter	Desulfovermiculus	Desulfovibrio	Desulfovirga	Desulfurispora	Dialister	Dietzia	Dokdonella	Dorea	Eggerthella	Eggerthia	Eisenbergiella	Empedobacter	Enhydrobacter	Enterobacter	Enterococcus	Enterorhabdus	Erwinia	Erysipelotrichaceae_incertae_sedis	Escherichia/Shigella	Ethanoligenens	Eubacterium	Facklamia	Faecalibacterium	Finegoldia	Flavonifractor	Fructobacillus	Fusibacter	Fusicatenibacter	Fusobacterium	Gallibacterium	Gallicola	Gardnerella	Gemella	Gemmiger	Geobacillus	Geosporobacter	Gibbsiella	Globicatella	Gordonibacter	Gp19	Gp21	Gp5	Gp9	Gracilibacter	Granulicatella	Haemophilus	Hafnia	Hallella	Haloactinospora	Halocella	Herbiconiux	Hespellia	Holdemania	Hydrogenoanaerobacterium	Hydrotalea	Insolitispirillum	Intestinimonas	Isobaculum	Isosphaera	Kandleria	Klebsiella	Kluyvera	Kosakonia	Labilithrix	Lachnoanaerobaculum	Lachnobacterium	Lachnospira	Lachnospiracea_incertae_sedis	Lacticigenium	Lactobacillus	Lactococcus	Lactonifactor	Lactovum	Larkinella	Leclercia	Lelliottia	Leptotrichia	Leuconostoc	Litorilinea	Lonsdalea	Lutispora	Lysinibacillus	Mameliella	Mangrovibacter	Mangrovibacterium	Mangroviflexus	Mannheimia	Marinicella	Marvinbryantia	Megamonas	Megasphaera	Melissococcus	Meniscus	Metascardovia	Methanobrevibacter	Millisia	Mitsuokella	Mobiluncus	Mogibacterium	Morganella	Moryella	Murdochiella	Mycobacterium	Natranaerovirga	Natronincola	Negativicoccus	Neisseria	Obesumbacterium	Ochrobactrum	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Oxobacter	Paludibacter	Papillibacter	Parabacteroides	Paralactobacillus	Paraprevotella	Parascardovia	Parasporobacterium	Parasutterella	Parvibacter	Parvimonas	Pectinatus	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcaceae_incertae_sedis	Peptostreptococcus	Petrimonas	Petrobacter	Phascolarctobacterium	Phaseolibacter	Phenylobacterium	Phocaeicola	Pilibacter	Plantibacter	Plesiomonas	Pluralibacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudoclavibacter	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Pyramidobacter	Pyrolobus	Quadrisphaera	Raoultella	Renibacterium	Rhodopseudomonas	Rikenella	Robinsoniella	Roseburia	Rosenbergiella	Rothia	Rubinisphaera	Ruminococcus	Ruminococcus2	Saccharibacteria_genera_incertae_sedis	Salmonella	Sarcina	Scardovia	Schwartzia	Selenomonas	Seminibacterium	Serpens	Sharpea	Shuttleworthia	Slackia	Sneathia	Solobacterium	Sphingobacterium	Sporacetigenium	Sporobacter	Sporobacterium	Sporolactobacillus	Staphylococcus	Streptococcus	Streptophyta	Subdivision5_genera_incertae_sedis	Subdoligranulum	Succiniclasticum	Sulfophobococcus	Sutterella	Syntrophococcus	Tannerella	Tatumella	Tepidibacter	Tetragenococcus	Thermodiscus	Thermohydrogenium	Thermosphaera	Thermus	Trabulsiella	Trueperella	Turicella	Turicibacter	Ureaplasma	Vagococcus	Varibaculum	Veillonella	Viridibacillus	Weissella	Woesearchaeota Incertae Sedis AR15	Woesearchaeota Incertae Sedis AR20	Xylanibacter	Yokenella
r1_1	3	0	0	0	0	0	0	51	0	0	0	90	25	0	0	3	110	0	0	0	0	0	0	0	0	0	2	0	0	0	13	1062	0	0	0	0	0	0	0	134	1	13	0	17245	610	3411	0	0	12612	0	0	0	510	22	0	0	1	0	204	0	0	0	0	0	0	593	1	0	3276	1197	230	0	0	2897	2	40	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5302	396	26	8	0	0	1	0	0	0	22	14	11	6	0	6626	0	81	1	0	996	1	0	0	4	12	12553	0	0	0	0	8	0	0	0	0	0	44	0	0	0	0	0	0	0	45	0	6	0	85	0	0	0	0	0	0	0	0	0	1	4079	0	188	865	2	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	4	6451	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	75	0	19	30	0	0	0	3	2219	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4029	0	88	0	122	3287	0	0	442	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	24679	9	0	283	0	0	23	5	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	62	0	37	0	0	0	0
r1_10	6	0	0	0	1	0	0	34	0	0	0	17	7	0	0	1	85	0	0	0	0	0	0	0	0	0	1	0	0	0	10	1020	1	0	0	0	0	0	0	40	0	1	0	7314	50	2403	0	0	3410	0	0	0	253	55	0	0	2	0	41	0	0	0	0	0	0	223	13	0	959	210	92	1	0	436	0	22	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	55	10	1	0	0	0	0	0	0	5	2	5	13	0	3038	1	116	0	0	1221	0	0	0	0	0	2458	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	26	0	1	0	51	0	0	0	0	0	0	0	0	0	0	1200	0	4	67	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	2333	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	65	0	0	55	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	183	0	0	0	0	0	0	0	0	0	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	2139	0	2	0	827	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	80	1	0	69	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	3	0	0	0	0	0	0
r1_11	17	0	1	0	12	0	0	216	0	0	0	139	20	1	0	6	176	0	0	0	0	0	0	0	3	1	8	0	0	0	11	1491	2	0	0	1	0	0	0	180	0	4	0	7040	115	6175	0	0	8734	0	0	0	144	88	0	0	21	0	142	0	0	0	0	0	0	2470	102	0	2870	1139	220	31	0	6569	5	15	1934	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2759	364	79	1	0	0	2	0	0	0	64	22	50	74	0	4250	1	61	0	0	1667	0	0	0	4	11	4341	0	0	0	0	223	0	0	0	0	0	8	0	0	0	0	0	0	0	28	0	22	0	66	0	0	0	0	0	0	0	0	0	0	5041	0	7	425	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1599	0	0	0	0	0	0	0	0	11	0	1	0	0	0	2	0	0	0	0	100	0	0	7	0	0	0	0	1130	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	5	0	30	0	1	0	3	0	0	0	1	0	0	1013	0	4	0	81	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	0	0	998	1	0	595	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0
r1_12	9	0	0	0	1	0	0	126	0	0	0	85	15	0	0	3	174	0	0	0	0	0	0	0	0	0	0	0	0	0	25	970	2	0	0	0	0	0	0	86	0	1	0	16114	137	2864	0	0	5653	0	0	0	460	186	0	0	17	0	79	0	0	0	0	0	0	268	61	0	1493	329	114	202	0	639	0	132	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	115	8	5	0	0	0	0	0	0	10	8	13	10	0	5093	0	153	0	0	1620	0	0	0	0	1	3701	0	0	0	0	57	0	0	0	0	0	0	15	0	0	0	0	0	0	31	0	8	0	94	0	0	0	0	0	0	0	1	0	5	3499	0	6	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5879	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	129	1	5	65	0	0	0	0	1658	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	6	0	36	0	0	0	0	0	0	0	0	0	1	4781	0	19	0	1615	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	754	2	1	157	0	0	210	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0
r1_13	8	0	1	0	0	0	0	430	0	0	0	143	19	0	0	3	180	0	0	0	0	0	0	0	1	0	2	0	0	0	40	2023	1	0	0	1	0	0	6	143	0	2	0	23077	194	1680	0	0	8366	0	0	0	1155	168	0	0	14	0	78	0	0	0	7	0	0	509	91	0	2056	409	164	2	0	708	0	219	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2290	136	16	9	0	0	67	20	0	0	12	5	15	15	0	4777	1	238	0	0	4453	0	2	0	2	6	3398	0	0	0	0	50	0	0	0	0	0	30	31	0	0	0	0	0	0	21	0	7	0	146	0	0	1	0	0	0	0	0	0	3	3051	0	68	142	1	0	0	0	2	0	106	0	1	0	0	0	0	1	0	0	0	1	5300	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	146	0	6	38	0	0	0	1	2260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	14	0	16	2	0	0	0	0	0	0	1	0	0	5378	0	28	0	178	722	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	1	0	0	2023	20	0	97	0	0	94	3	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	56	0	0	0	0
r1_14	10	0	0	0	2	0	0	166	0	0	1	92	10	0	0	5	80	0	0	0	0	0	0	0	0	0	2	0	0	0	11	1290	1	0	0	0	0	0	0	88	0	2	0	6279	38	2050	0	0	6485	0	0	0	847	27	0	0	9	0	57	0	0	0	1	0	0	915	106	0	1079	323	116	57	0	534	0	14	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1617	115	20	12	0	0	0	2	0	0	10	11	8	17	0	6473	1	239	0	0	4139	2	0	0	0	10	3899	0	0	0	0	29	0	0	0	0	0	11	3	0	0	0	0	0	0	17	0	5	0	91	0	0	0	0	0	0	0	1	0	1	2751	0	0	29	2	1	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	4	2643	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	5	42	0	0	0	1	706	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	354	0	0	0	0	0	0	0	0	0	0	0	9	0	19	0	0	0	0	0	0	0	2	0	0	5172	0	19	0	328	729	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	7	0	0	0	7855	1	0	116	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	0	0	13	0	0	0	0
r1_15	15	0	0	0	4	0	0	92	0	0	0	30	7	0	0	3	192	0	0	0	0	0	0	0	0	0	2	0	0	0	14	2096	2	0	0	0	0	0	0	96	0	0	0	14362	170	3244	0	0	5896	0	0	0	408	183	0	0	12	0	74	0	0	0	0	0	0	636	39	0	1277	375	276	5	0	584	2	42	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1426	83	21	15	0	0	1	0	0	0	8	2	17	15	0	6225	0	323	0	0	1911	1	0	0	0	1	4493	0	0	0	0	60	0	0	0	0	0	3	1	0	0	0	0	0	0	15	0	6	1	129	0	0	0	0	0	0	0	0	0	3	3768	0	0	32	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	5771	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	185	0	2	156	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	444	0	0	0	0	0	0	0	0	0	0	0	4	0	35	0	0	0	1	0	0	0	0	0	0	5447	0	5	0	1438	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1158	2	0	168	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
r1_16	13	2	0	0	0	0	0	98	0	0	0	30	11	0	0	2	287	0	0	0	0	0	0	0	1	0	1	0	0	0	21	1823	9	0	0	0	0	0	0	105	0	1	0	9086	213	3341	0	0	4284	0	0	0	436	161	0	0	20	0	32	0	0	0	0	0	0	1300	46	0	900	274	253	0	0	530	0	36	1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	127	33	9	0	0	0	0	1	0	4	0	13	39	0	6445	0	334	0	0	2320	0	0	0	1	2	5242	0	0	0	0	68	0	0	0	0	0	0	1	0	0	0	0	0	0	44	0	9	1	147	0	0	0	0	0	0	0	0	0	4	2472	0	2	103	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	3619	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	149	0	3	188	0	0	0	1	1410	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	398	0	0	0	0	0	0	0	0	0	0	0	6	0	57	0	1	0	0	0	0	0	4	0	0	2020	0	4	0	1579	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	3086	0	0	135	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
r1_17	17	1	0	0	1	0	0	119	0	0	0	68	16	0	0	2	295	0	0	0	0	0	0	0	1	0	5	0	0	0	34	2628	8	0	0	0	0	0	0	93	0	0	0	8367	261	3027	0	0	5286	0	0	0	636	154	0	0	20	0	62	0	0	0	0	0	0	788	91	0	1301	314	324	41	0	902	4	37	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1211	142	24	7	0	0	0	0	1	0	9	13	17	37	0	8825	0	458	0	0	2978	0	0	0	1	2	6096	0	0	0	0	59	0	0	0	0	0	2	12	0	0	0	0	0	0	56	0	16	0	124	0	0	0	0	0	0	0	0	0	17	2870	0	212	101	4	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	3	2862	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	120	0	0	156	0	0	0	2	749	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	1	1	0	0	0	0	46	0	0	0	1	0	0	0	2	0	0	5148	0	1	0	926	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	1	0	0	5300	0	0	203	0	0	102	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0
r1_18	12	0	0	0	0	0	0	21	0	0	0	36	10	0	0	5	130	0	0	0	0	0	0	0	0	0	2	0	0	0	19	3390	2	0	0	0	0	0	0	151	0	0	0	5280	127	3838	0	0	5719	0	0	0	164	39	0	0	10	0	109	0	0	0	0	0	0	790	51	0	2150	173	217	0	0	887	2	22	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	93	29	1	0	0	0	0	0	0	8	11	6	48	0	5125	0	221	0	0	3334	0	0	0	2	1	2779	0	0	0	0	24	0	0	0	0	0	6	2	0	0	0	0	0	0	13	0	12	1	109	0	0	0	0	0	0	0	0	0	14	1567	0	204	49	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2492	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	28	0	1	68	0	0	0	0	753	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	1	0	4304	0	11	0	581	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	7603	0	0	108	0	0	36	3	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	5	0	0	0	0	0	0
