sample	Acidilobales	Actinomycetales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Caldilineales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Desulfovibrionales	Desulfurococcales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Halanaerobiales	Hydrogenophilales	Lactobacillales	Methanobacteriales	Mycoplasmatales	Myxococcales	Neisseriales	Pasteurellales	Planctomycetales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoproteales	Verrucomicrobiales	Xanthomonadales
r1_1	0	180	13	20486	3461	23	0	0	0	62983	3737	0	0	0	15	6413	0	1	0	0	0	27046	0	0	0	0	0	0	0	0	0	0	0	7939	6	0	0	0	0	0	3	0
r1_10	0	19	0	8389	2412	53	0	0	0	19331	643	0	0	0	2	1891	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	2559	1	0	0	0	0	0	1	0
r1_11	0	150	11	8755	6223	29	0	0	0	41303	7740	0	0	3	25	5734	0	0	0	0	0	1491	0	0	0	0	0	0	0	0	1	0	0	2454	22	0	0	0	0	0	6	0
r1_12	0	105	1	18783	2881	213	0	0	0	34543	1083	0	0	0	8	2885	0	0	0	0	0	796	0	0	0	0	16	0	0	0	0	0	12	6469	8	0	0	0	0	0	3	0
r1_13	0	184	6	26371	1700	94	0	0	0	42808	1309	0	1	0	93	3839	0	0	0	0	0	2524	0	0	0	0	36	0	2	0	1	0	36	6359	7	0	0	0	0	0	3	0
r1_14	0	114	10	7260	2074	12	0	0	0	41946	923	0	0	0	17	2055	0	2	0	0	0	8234	0	0	0	0	4	0	0	0	2	0	8	3178	5	0	0	0	0	0	6	0
r1_15	0	39	1	16953	3266	243	0	0	0	41200	992	0	0	1	4	2506	0	1	0	0	0	1240	0	0	0	0	1	0	0	0	0	0	370	6326	7	0	0	0	0	0	3	0
r1_16	0	35	2	12137	3373	157	0	0	0	35505	1052	0	0	0	0	1734	0	0	0	0	0	3266	0	0	0	0	1	0	0	0	4	0	507	4128	11	0	0	0	0	0	3	0
r1_17	0	72	2	10667	3065	104	0	0	0	45591	1433	0	0	1	14	2459	0	0	0	0	0	5897	0	0	0	0	17	1	0	0	2	0	251	3643	17	0	0	0	0	0	2	0
r1_18	0	48	1	6893	3886	36	0	0	0	33291	1445	0	0	0	11	4203	0	0	0	0	0	7975	0	0	0	0	2	0	0	0	0	0	38	2808	12	0	0	0	0	0	5	0
r1_19	0	38	3	9489	2668	98	0	0	0	34116	1667	0	1	1	0	3101	0	0	0	0	0	5246	0	0	0	0	2	0	0	0	0	0	145	4778	9	0	0	0	0	0	2	0
r1_2	0	118	1	12297	5151	34	0	0	0	59192	3187	0	0	1	176	10010	0	0	0	0	0	8846	0	0	0	0	0	0	0	0	0	0	1	3622	13	0	0	0	0	0	6	0
r1_20	0	214	22	22543	9666	64	0	0	0	74206	2917	0	0	0	356	6520	0	2	0	0	0	7204	0	0	0	0	91	0	0	0	1	0	57	3271	16	0	0	0	0	0	5	0
r1_21	0	121	7	15286	16007	175	0	0	0	64501	3481	0	1	1	19	4382	0	0	0	0	0	5692	0	0	0	0	21	0	0	0	1	0	117	4980	19	0	0	0	0	0	9	0
r1_22	0	90	7	19196	7746	151	0	0	0	50346	3337	0	0	0	57	5282	0	0	0	0	0	7345	0	0	0	0	0	0	0	0	2	0	79	10206	22	0	0	0	1	0	3	0
r1_23	0	95	10	22027	5451	247	0	0	0	55013	2578	0	1	1	9	7241	0	0	0	0	0	1427	0	0	0	0	0	0	0	0	1	0	207	13416	15	0	0	0	0	0	3	0
r1_24	0	24	2	23391	5029	209	0	0	0	38158	2133	0	0	0	2	2854	0	1	0	0	0	2712	0	0	0	0	0	0	0	0	1	0	440	15435	9	0	0	0	0	0	5	0
r1_25	0	47	2	13535	2971	150	0	0	0	27133	1451	0	0	0	3	2162	0	0	0	0	0	3000	0	0	0	0	4	0	0	0	0	0	780	7436	12	0	0	0	0	0	2	0
r1_26	0	29	1	10680	3524	180	0	0	0	31907	934	0	1	0	30	2368	0	0	0	0	0	959	0	0	0	0	44	0	0	0	3	0	840	5535	8	0	0	0	0	0	4	0
r1_27	0	40	0	10161	4538	221	0	0	0	29057	1851	0	0	1	346	1575	0	0	0	0	0	417	0	0	0	0	2	0	0	0	1	0	314	2803	17	0	0	0	0	0	6	0
r1_28	0	15	0	9465	3907	62	0	0	0	24681	1076	0	1	0	0	2241	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	33	3725	7	0	0	0	0	0	2	0
r1_29	0	27	2	5437	4490	49	0	0	0	32212	1897	0	6	6	12	2202	1	0	0	0	0	414	0	0	0	0	7	0	1	0	33	0	2	1560	145	0	0	0	0	0	47	0
r1_3	0	29	1	20419	2989	200	0	0	0	53546	1740	0	0	0	6	6246	0	0	0	0	0	1297	0	0	0	0	0	0	0	0	5	0	0	6164	12	0	0	0	0	0	6	0
r1_30	0	69	2	6057	4931	3	0	0	0	43691	2028	0	0	1	4	2987	0	0	0	0	0	623	0	0	0	0	2	0	0	0	1	0	5	448	8	0	0	0	0	0	4	0
r1_31	0	32	2	16699	6903	104	0	0	0	41670	2512	0	0	3	1	3202	0	0	0	0	0	1135	0	0	0	0	1	0	0	0	0	0	45	2601	13	0	0	0	0	0	3	0
r1_32	0	27	3	6756	4142	67	0	0	0	43435	2288	0	0	1	0	3104	1	0	0	0	0	2009	0	0	0	0	1	0	0	0	0	0	14	4991	15	0	0	0	0	0	7	0
