sample	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	Candidatus Saccharibacteria	Chloroflexi	Crenarchaeota	Cyanobacteria/Chloroplast	Deinococcus-Thermus	Euryarchaeota	Firmicutes	Fusobacteria	Planctomycetes	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia	Woesearchaeota
r1_1	0	7384	0	20511	0	0	0	9	0	0	104560	1	0	51	0	0	3	0
r1_10	0	3075	0	8400	0	0	0	1	0	0	24014	0	0	67	0	0	1	0
r1_11	0	14117	0	8892	0	0	3	1	0	0	51160	0	0	176	0	0	7	0
r1_12	2	4070	0	18845	0	0	0	2	0	0	44814	0	0	315	0	0	4	0
r1_13	0	3195	0	26464	0	0	0	20	0	0	55664	0	0	337	0	0	3	0
r1_14	0	3115	0	7303	0	0	1	1	0	0	55551	2	0	88	0	0	6	0
r1_15	0	4300	0	17041	0	0	3	2	0	0	51371	1	0	849	0	0	3	0
r1_16	0	4463	0	12232	0	0	0	0	0	0	44776	0	0	929	0	0	3	0
r1_17	0	4572	0	10799	0	0	3	0	0	0	57727	0	1	586	0	0	3	0
r1_18	0	5382	0	6978	0	0	0	0	0	0	48402	0	0	169	0	0	5	0
r1_19	0	4376	0	9546	0	0	1	0	0	0	47339	0	0	347	0	0	2	0
r1_2	0	8464	0	12406	0	0	2	10	0	0	81830	0	0	277	0	0	6	0
r1_20	0	12808	0	22655	0	0	1	0	0	0	91374	2	0	707	0	0	5	0
r1_21	0	19625	0	15425	0	0	2	1	0	0	79781	0	0	504	0	0	9	0
r1_22	0	11181	0	19332	0	0	0	1	1	0	73380	0	0	435	0	0	3	0
r1_23	0	8127	0	22129	0	0	1	0	0	0	77258	0	0	665	0	0	3	0
r1_24	1	7191	0	23474	0	0	0	1	0	0	59298	1	0	874	0	0	6	0
r1_25	0	4470	0	13620	0	0	3	0	0	0	39824	0	0	1336	0	0	2	0
r1_26	0	4493	0	10732	0	0	1	0	0	1	40848	0	0	1470	0	0	4	0
r1_27	0	6435	0	10256	0	0	1	1	0	0	33983	0	0	1115	0	0	7	0
r1_28	0	5000	0	9530	0	0	1	0	0	0	31102	0	0	194	0	0	2	0
r1_29	0	6443	0	6233	0	0	11	0	0	0	37496	0	0	792	0	0	47	1
r1_3	0	4759	0	20522	0	0	1	5	0	0	67401	0	0	275	0	0	6	0
r1_30	0	7029	0	6123	0	0	1	6	0	0	47862	0	0	67	0	0	4	0
r1_31	0	9448	0	16772	0	0	3	1	0	0	48726	0	0	229	0	0	4	0
r1_32	0	6463	0	6915	0	0	1	0	0	0	53652	0	0	156	0	0	7	0
r1_33	0	7560	0	10127	0	0	3	1	0	0	71895	0	0	305	0	0	7	0
r1_34	0	9968	0	12582	0	0	2	8	0	0	100346	3	0	836	0	0	15	0
r1_35	1	7184	0	15217	0	0	4	1	0	0	100727	0	0	2342	0	0	20	0
r1_36	0	9462	0	22091	1	0	3	2	0	0	107508	0	0	2325	0	0	14	0
r1_37	0	206	0	1632	0	0	3	0	0	0	3842	0	0	780	0	0	55	0
r1_38	0	10631	0	4055	0	0	0	1	0	0	58647	0	0	58	0	0	5	0
r1_39	0	12494	0	5984	0	0	1	1	0	0	59607	0	0	66	0	0	2	0
r1_4	0	4562	0	19841	0	0	0	1	0	0	45899	0	0	14995	0	0	4	0
r1_40	0	10274	0	5091	0	0	1	1	0	0	47404	0	0	142	0	0	5	0
r1_41	0	5685	0	10694	0	0	0	0	0	0	41114	0	0	100	0	0	2	0
r1_42	0	14735	0	26576	0	0	1	8	0	0	109218	0	1	264	0	0	6	0
r1_43	0	11035	0	1350	0	0	0	1	0	0	38244	0	0	103	0	0	5	0
r1_44	1	8497	0	2557	0	0	11	0	0	0	30796	0	0	535	0	0	51	1
r1_45	1	118	0	1738	0	0	10	0	0	0	2106	0	1	433	0	0	27	0
r1_46	0	6266	0	1295	0	0	2	1	0	0	25262	0	0	599	0	0	39	0
r1_47	0	11560	0	16541	0	0	1	3	0	0	77282	0	0	814	0	0	3	0
r1_48	1	11646	0	13129	0	0	1	1	0	0	90714	0	0	747	0	0	10	0
r1_49	0	18058	0	5408	0	0	1	0	0	0	118575	0	0	156	0	0	2	0
r1_5	0	2751	0	15357	0	0	0	0	0	0	40134	0	0	981	0	0	3	0
r1_50	0	7561	0	13480	1	0	1	0	0	0	61753	0	0	142	0	0	2	0
r1_51	0	13575	0	11708	0	0	3	0	0	0	92715	1	0	299	0	0	7	0
r1_52	0	99	0	445	0	0	1	0	0	0	1343	0	0	237	0	0	19	0
r1_53	0	6062	0	8744	0	0	0	3	0	0	40621	0	0	146	0	0	3	0
r1_54	0	9556	0	13574	0	0	0	1	0	0	48604	0	0	178	0	0	4	0
r1_55	0	8584	0	16846	0	0	5	9	0	0	62931	1	0	571	0	0	12	0
r1_56	0	22619	0	405	0	0	0	0	0	0	69096	0	0	146	0	0	14	0
r1_57	0	4977	0	13302	0	0	1	3	0	0	43072	0	0	498	0	0	0	0
r1_58	1	190	0	1444	0	0	2	0	0	0	3321	0	0	622	0	0	53	0
r1_59	0	8553	0	6745	0	0	0	0	0	0	34360	1	0	130	0	0	2	0
r1_6	0	2523	0	16642	0	0	0	0	0	0	41846	0	0	331	0	0	3	0
r1_60	0	34598	0	15664	0	0	1	2	0	0	147281	0	0	465	0	0	14	0
r1_61	0	4603	0	29875	0	0	0	8	0	0	77888	0	0	602	0	0	6	0
r1_63	0	9630	0	21262	0	0	2	1	0	0	75255	0	0	503	0	0	10	0
r1_64	1	22877	0	6149	0	0	3	7	0	0	80433	0	0	141	0	0	14	0
r1_65	0	12691	0	9571	0	0	2	3	0	0	56203	0	0	558	0	0	25	0
r1_66	0	4546	0	20512	0	0	2	0	0	0	51736	0	0	600	0	0	2	0
r1_67	0	8916	0	8613	0	0	1	1	0	0	44724	0	0	382	0	0	4	0
r1_68	0	7676	0	8698	0	0	0	0	0	0	49853	0	0	169	0	0	1	0
r1_7	0	432	0	1846	0	0	2	0	0	0	5732	0	1	433	0	0	38	0
r1_8	0	2781	0	10870	0	0	2	1	0	0	52996	0	0	215	0	0	2	0
r1_9	0	0	0	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0
r1_B1	1	3508	0	20133	0	0	2	0	0	0	64960	0	0	1508	0	0	6743	0
r1_B10	0	5893	0	14897	0	0	1	1	0	0	36896	0	1	363	0	0	1943	0
r1_B11	0	1595	0	10841	0	0	0	0	0	0	26123	0	0	475	0	0	12	0
r1_B12	0	1835	0	19384	0	0	1	0	0	0	53150	0	0	1127	0	0	20	0
r1_B13	1	1845	0	24490	0	0	3	1	0	0	49539	0	0	1292	0	0	3184	0
r1_B14	1	2955	0	17748	0	0	7	0	0	0	63849	0	2	1240	0	0	369	0
r1_B15	2	3146	0	26244	0	0	4	1	0	0	72774	0	0	943	0	0	470	0
r1_B16	0	2228	0	16084	0	0	3	0	0	2	52718	0	0	805	0	0	2900	0
r1_B17	1	566	0	22926	0	0	1	4	0	0	42168	1	0	656	0	0	696	0
r1_B18	0	1701	0	19562	0	0	2	0	0	0	41033	0	0	1099	0	0	1353	0
r1_B19	1	1501	0	22625	0	0	1	0	0	0	44403	0	0	928	0	0	2769	0
r1_B2	0	2294	0	25940	0	0	1	0	0	0	54502	0	0	1708	0	0	5043	0
r1_B20	0	1169	0	1167	0	0	1	0	0	0	14433	0	0	123	0	0	725	0
r1_B21	0	1905	0	3431	0	0	3	0	0	2	33975	0	0	245	0	0	1325	0
r1_B22	0	1675	0	1809	0	0	0	0	0	3	25975	0	1	141	0	0	832	0
r1_B23	0	2519	0	2645	0	0	2	0	0	0	33776	0	0	288	0	0	1246	0
r1_B24	0	1038	0	22338	0	0	1	0	0	1	39441	0	0	919	0	0	3778	0
r1_B25	0	1344	0	17359	0	0	0	0	0	1	43444	1	0	1120	0	0	2866	0
r1_B26	1	2041	0	11132	0	0	1	0	0	0	52390	0	0	871	0	0	2844	0
r1_B27	0	1630	0	15423	0	0	0	0	0	0	52844	0	0	829	0	0	2516	0
r1_B28	0	673	1	13710	0	0	0	9	0	0	25912	0	0	834	0	0	234	0
r1_B29	0	940	0	12292	0	0	1	0	0	1	26514	0	0	661	0	0	290	0
r1_B3	1	1219	0	16809	0	0	0	2	0	0	40044	0	0	638	0	0	1195	0
r1_B30	0	1410	0	25679	0	1	1	2	0	0	49477	0	1	1696	0	0	1263	0
r1_B31	0	1204	0	24667	0	0	2	0	0	0	40549	0	0	1621	0	0	2636	0
r1_B32	1	4445	0	18587	0	0	4	0	0	0	37299	0	0	581	0	0	4168	0
r1_B33	0	1488	0	17147	0	0	2	0	0	0	20963	0	0	719	0	1	2165	0
r1_B34	0	2808	0	12256	0	0	2	0	0	0	18341	0	0	216	1	0	2618	0
r1_B35	3	2891	0	14374	0	0	3	0	0	0	37646	0	0	543	0	0	1099	0
r1_B36	0	1525	0	16042	0	0	1	0	0	0	31839	0	0	1162	0	0	12	0
r1_B37	0	1586	0	14189	0	0	0	0	0	0	26905	0	0	1037	0	0	5	0
r1_B38	0	1514	0	13342	0	0	0	1	0	0	25190	0	0	939	0	0	2	0
r1_B39	0	1615	0	20604	0	0	1	0	0	0	34853	0	0	1342	0	0	7	0
r1_B4	0	2782	0	40905	0	0	1	11	0	0	73272	0	0	1664	0	0	3397	0
r1_B40	0	790	0	21466	0	0	0	0	0	0	30824	0	0	1320	0	0	3	0
r1_B41	0	843	0	24891	0	0	1	0	0	0	37142	0	0	1517	0	0	7	0
r1_B42	0	994	0	17145	0	0	1	0	0	0	39725	0	0	1077	0	0	88	0
r1_B43	0	2265	0	17904	0	0	0	1	0	0	41787	0	0	653	0	0	637	0
r1_B44	1	2744	0	23159	0	0	2	0	0	0	41055	0	0	866	0	0	812	0
r1_B45	0	1416	0	15900	0	0	2	0	0	0	46969	0	0	738	0	0	2743	0
r1_B46	0	2962	0	12346	0	0	1	0	0	0	87300	0	0	856	0	0	5219	0
r1_B47	1	1120	0	46784	0	0	1	0	0	0	40623	0	0	4274	0	0	6969	0
r1_B5	0	3246	0	39459	0	0	3	1	0	0	86943	0	0	1848	1	0	2597	0
r1_B6	1	3713	0	27834	0	0	1	2	0	0	71835	0	0	1429	0	0	4505	0
r1_B7	0	4189	0	23386	0	0	1	0	0	1	57035	0	0	1218	0	0	3979	0
r1_B8	0	2490	0	25837	0	0	2	2	0	0	55421	0	0	998	0	0	1007	0
r1_B9	0	4296	0	26546	0	0	1	0	0	1	66546	0	0	1701	0	0	1455	0
